Index	higherClassification
Animals	.*?\|Ambulacraria\|$
Mollusca	.*?\|Americana\|.*?
Angiosperms	.*?\|Amethystea\|.*?
Mollusca	.*?\|Amethystina\|.*?
Rhodophyta	.*?\|Amgaina\|.*?
Bacteria	.*?\|Amganella\|.*?
Actinopterygii	.*?\|Amiiformes\|.*?
Plants	.*?\|Ammatophyllum\|.*?
Angiosperms	.*?\|Ammi\|.*?
Protists	.*?\|Ammophilia\|.*?
Protists	.*?\|Amoeba\|.*?
Protists	.*?\|Amoebosporus\|.*?
Protists	.*?\|Amoebozoa\|.*?
Angiosperms	.*?\|Ampelidaceae\|.*?
Insecta	.*?\|Ampelipteridae\|.*?
Plants	.*?\|Ampelophyllites\|.*?
Angiosperms	.*?\|Ampeloxylon\|.*?
Tetrapoda	.*?\|Amphibia\|(.*?\|)?Anura\|.*?
Insecta	.*?\|Amphiesmenoptera\|$
Trichoptera	.*?\|Amphiesmenoptera\|Trichoptera\|.*?
Fungi	.*?\|Amphisphaeriaceae\|.*?
Angiosperms	.*?\|Amphitoa\|.*?
Plants	.*?\|Amphitoites\|.*?
Viruses	.*?\|Ampullaviridae\|.*?
Plants	.*?\|Amyoxylon\|.*?
Plants	.*?\|Anabacaulus\|.*?
Angiosperms	.*?\|Anacardiaceae\|.*?
Pteridophytes	.*?\|Anachoropteris\|.*?
Angiosperms	.*?\|Anacyclus\|.*?
Angiosperms	.*?\|Anagallis\|.*?
Angiosperms	.*?\|Anagyris\|.*?
Pteridophytes	.*?\|Anarthrocanna\|.*?
Insecta	.*?\|Anartioptera\|$
Vertebrata	.*?\|Anaspidomorphi\|.*?
Angiosperms	.*?\|Anastatica\|.*?
Tetrapoda	.*?\|Anatidae\|.*?
Angiosperms	.*?\|Anchusa\|.*?
Lepidoptera	.*?\|Ancyluris\|.*?
Protists	.*?\|Ancyromonadida\|.*?
Arthropoda	.*?\|Anderella\|.*?
Bryophytes	.*?\|Andreaeaceae\|.*?
Bryophytes	.*?\|Andreaeobryopsida\|.*?
Bryophytes	.*?\|Andreaeopsida\|.*?
Actinopterygii	.*?\|Andreolepis\|.*?
Pteridophytes	.*?\|Andriania\|.*?
Plants	.*?\|Androphyllum\|.*?
Angiosperms	.*?\|Androsace\|.*?
Angiosperms	.*?\|Andryala\|.*?
Insecta	.*?\|Anebos\|.*?
Viruses	.*?\|Anelloviridae\|.*?
Pteridophytes	.*?\|Anemiaceae\|.*?
Angiosperms	.*?\|Anethum\|.*?
Bryophytes	.*?\|Aneuraceae\|.*?
Plants	.*?\|Aneurophytophyta\|.*?
Plants	.*?\|Angarolaminariopsis\|.*?
Pteridophytes	.*?\|Angarophloios\|.*?
Plants	.*?\|Angiodendron\|.*?
Angiosperms	.*?\|Angiosperms\|.*?
Angiosperms	.*?\|Angiosperms\|(.*?\|)?Punica\|.*?
Actinopterygii	.*?\|Anguilliformes\|.*?
Mollusca	.*?\|Angulata\|.*?
Tetrapoda	.*?\|Animalia\|(.*?\|)?Acanthion\|.*?
Protists	.*?\|Animalia\|(.*?\|)?Actinosphaera\|.*?
Diptera	.*?\|Animalia\|(.*?\|)?Aspilia\|.*?
Hymenoptera	.*?\|Animalia\|(.*?\|)?Australia\|.*?
Arachnida	.*?\|Animalia\|(.*?\|)?Bellonia\|.*?
Protists	.*?\|Animalia\|(.*?\|)?Caryospora\|.*?
Actinopterygii	.*?\|Animalia\|(.*?\|)?Catastoma\|.*?
Tetrapoda	.*?\|Animalia\|(.*?\|)?Centrocercus\|.*?
Tetrapoda	.*?\|Animalia\|(.*?\|)?Cobra\|.*?
Animals	.*?\|Animalia\|(.*?\|)?Derris\|.*?
Insecta	.*?\|Animalia\|(.*?\|)?Dicliptera\|.*?
Diptera	.*?\|Animalia\|(.*?\|)?Diptera\|.*?
Insecta	.*?\|Animalia\|(.*?\|)?Eurytaenia\|.*?
Animals	.*?\|Animalia\|(.*?\|)?Gastrotricha\|.*?
Animals	.*?\|Animalia\|(.*?\|)?Grossularia\|.*?
Mollusca	.*?\|Animalia\|(.*?\|)?Helicteres\|.*?
Mollusca	.*?\|Animalia\|(.*?\|)?Heliopsis\|.*?
Crustacea	.*?\|Animalia\|(.*?\|)?Itea\|.*?
Insecta	.*?\|Animalia\|(.*?\|)?Notoptera\|.*?
Annelida	.*?\|Animalia\|(.*?\|)?Oligochaeta\|.*?
Animals	.*?\|Animalia\|(.*?\|)?Onychophora\|.*?
Crustacea	.*?\|Animalia\|(.*?\|)?Orthocarpus\|.*?
Bivalvia	.*?\|Animalia\|(.*?\|)?Ortonella\|.*?
Mollusca	.*?\|Animalia\|(.*?\|)?Peltella\|.*?
Insecta	.*?\|Animalia\|(.*?\|)?Pterygota\|$
Mollusca	.*?\|Animalia\|(.*?\|)?Punica\|.*?
Brachiopoda	.*?\|Animalia\|(.*?\|)?Retaria\|.*?
Mollusca	.*?\|Animalia\|(.*?\|)?Rotala\|.*?
Insecta	.*?\|Animalia\|(.*?\|)?Siphonaptera\|.*?
Porifera	.*?\|Animalia\|(.*?\|)?Sycophyllum\|.*?
Crustacea	.*?\|Animalia\|(.*?\|)?Trochiscia\|.*?
Tunicata	.*?\|Animalia\|(.*?\|)?Tunicata\|.*?
Vertebrata	.*?\|Animalia\|(.*?\|)?Vertebrata\|$
Animals	.*?\|Animalia\|$
Animals	.*?\|Animalia\|Acanthocephala\|.*?
Crustacea	.*?\|Animalia\|Balanomorpha\|.*?
Animals	.*?\|Animalia\|Chaetognatha\|.*?
Animals	.*?\|Animalia\|Ctenophora\|.*?
Animals	.*?\|Animalia\|Gnathifera\|.*?
Animals	.*?\|Animals\|(.*?\|)?Spiralia\|$
Animals	.*?\|Animals\|$
Angiosperms	.*?\|Anisophylleaceae\|.*?
Diptera	.*?\|Anisopodidae\|.*?
Coleoptera	.*?\|Anisotarsus\|.*?
Chlorophyta	.*?\|Ankistrodesmus\|.*?
Annelida	.*?\|Annelida\|.*?
Angiosperms	.*?\|Annonaceae\|.*?
Plants	.*?\|Annonoxylon\|.*?
Tetrapoda	.*?\|Anolidae\|.*?
Bryophytes	.*?\|Anomodontaceae\|.*?
Hymenoptera	.*?\|Anteon\|.*?
Lepidoptera	.*?\|Anthene\|.*?
Angiosperms	.*?\|Anthericum\|.*?
Plants	.*?\|Anthocephale\|.*?
Bryophytes	.*?\|Anthocerotaceae\|.*?
Bryophytes	.*?\|Anthocerotophyta\|.*?
Bryophytes	.*?\|Anthocerotopsida\|.*?
Plants	.*?\|Anthodiopsis\|.*?
Angiosperms	.*?\|Antholithes\|.*?
Plants	.*?\|Antholithus\|.*?
Angiosperms	.*?\|Antholyza\|.*?
Diptera	.*?\|Anthomyiidae\|.*?
Diptera	.*?\|Anthomyzidae\|.*?
Angiosperms	.*?\|Anthoxanthum\|.*?
Cnidaria	.*?\|Anthozoa\|.*?
Pteridophytes	.*?\|Anthracochondrus\|.*?
Insecta	.*?\|Anthracocorides\|.*?
Plants	.*?\|Anthracoporellopsis\|.*?
Angiosperms	.*?\|Anthyllis\|.*?
Angiosperms	.*?\|Antirrhinum\|.*?
Insecta	.*?\|Antliophora\|$
Pteridophytes	.*?\|Antrophyopteris\|.*?
Tetrapoda	.*?\|Aotidae\|.*?
Insecta	.*?\|Aparaglossata\|$
Lepidoptera	.*?\|Apatelodidae\|.*?
Insecta	.*?\|Apatohymenoptera\|.*?
Vertebrata	.*?\|Apedolepis\|.*?
Chlorophyta	.*?\|Aphanochaete\|.*?
Fungi	.*?\|Aphelida\|.*?
Fungi	.*?\|Aphelidea\|.*?
Fungi	.*?\|Aphelidiomycota\|.*?
Insecta	.*?\|Apheloneuridae\|.*?
Hymenoptera	.*?\|Aphelopus\|.*?
Pteridophytes	.*?\|Aphlebiopteris\|.*?
Insecta	.*?\|Aphryganoneura\|.*?
Plants	.*?\|Aphyllopteris\|.*?
Pteridophytes	.*?\|Aphyllostachys\|.*?
Angiosperms	.*?\|Apiaceae\|.*?
Angiosperms	.*?\|Apiales\|.*?
Protists	.*?\|Apicomplexa\|.*?
Protists	.*?\|Apicystis\|.*?
Mollusca	.*?\|Aplacophora\|.*?
Pteridophytes	.*?\|Aplophlebis\|.*?
Angiosperms	.*?\|Apocynaceae\|.*?
Angiosperms	.*?\|Apocynum\|.*?
Angiosperms	.*?\|Apodanthaceae\|.*?
Chlorophyta	.*?\|Apodocloris\|.*?
Insecta	.*?\|Apodonatoptera\|$
Tetrapoda	.*?\|Aporosaura\|.*?
Fungi	.*?\|Appianoporites\|.*?
Insecta	.*?\|Apterygota\|$
Angiosperms	.*?\|Aptiana\|.*?
Protists	.*?\|Apusomonadida\|.*?
Protists	.*?\|Apusomonadidae\|.*?
Protists	.*?\|Apusozoa\|.*?
Crustacea	.*?\|Apygophora\|.*?
Protists	.*?\|Aquavolonida\|.*?
Bacteria	.*?\|Aquificae\|.*?
Angiosperms	.*?\|Aquifoliaceae\|.*?
Angiosperms	.*?\|Aquifoliales\|.*?
Angiosperms	.*?\|Aquilegia\|.*?
Arthropoda	.*?\|Aquilonifer\|.*?
Angiosperms	.*?\|Arabis\|.*?
Angiosperms	.*?\|Araceae\|.*?
Arachnida	.*?\|Arachnida\|.*?
Protists	.*?\|Arachnomyxa\|.*?
Angiosperms	.*?\|Araliaceae\|.*?
Arachnida	.*?\|Araneae\|.*?
Arachnida	.*?\|Araneidae\|.*?
Gymnosperms	.*?\|Araucariaceae\|.*?
Gymnosperms	.*?\|Araucariopsis\|.*?
Gymnosperms	.*?\|Araucariostrobus\|.*?
Animals	.*?\|Arboreomorpha\|.*?
Insecta	.*?\|Arcanodraco\|.*?
Insecta	.*?\|Archaemiopteridae\|.*?
Chlorophyta	.*?\|Archaeocladus\|.*?
Crustacea	.*?\|Archaeocopida\|.*?
Insecta	.*?\|Archaeognatha\|.*?
Gymnosperms	.*?\|Archaeopodocarpus\|.*?
Insecta	.*?\|Archaeoptilites\|.*?
Insecta	.*?\|Archaeoptilus\|.*?
Plants	.*?\|Archaeorrhiza\|.*?
Fungi	.*?\|Archaeosporaceae\|.*?
Plants	.*?\|Archaeplastida\|$
Pteridophytes	.*?\|Archangelskya\|.*?
Protists	.*?\|Archeoxybaphon\|.*?
Bryophytes	.*?\|Archidiaceae\|.*?
Insecta	.*?\|Archipanorpidae\|.*?
Insecta	.*?\|Archizygoptera\|.*?
Hemiptera	.*?\|Arcofaciella\|.*?
Lepidoptera	.*?\|Arctiidae\|.*?
Angiosperms	.*?\|Arctium\|.*?
Plants	.*?\|Arctodendron\|.*?
Angiosperms	.*?\|Arecaceae\|.*?
Angiosperms	.*?\|Arecales\|.*?
Angiosperms	.*?\|Arecopsis\|.*?
Mollusca	.*?\|Aremellia\|.*?
Viruses	.*?\|Arenaviridae\|.*?
Viruses	.*?\|arfiviricetes\|.*?
Angiosperms	.*?\|Argemone\|.*?
Insecta	.*?\|Argentinoptera\|.*?
Crustacea	.*?\|Argulidae\|.*?
Crustacea	.*?\|Arguloida\|.*?
Angiosperms	.*?\|Aristida\|.*?
Angiosperms	.*?\|Aristolochiaceae\|.*?
Plants	.*?\|Aristophycos\|.*?
Ciliophora	.*?\|Armophorea\|.*?
Bryophytes	.*?\|Arnelliaceae\|.*?
Angiosperms	.*?\|Artedia\|.*?
Vertebrata	.*?\|Artenolepis\|.*?
Viruses	.*?\|Arteriviridae\|.*?
Pteridophytes	.*?\|Arthrodendromyelon\|.*?
Fungi	.*?\|Arthrodermataceae\|.*?
Arachnida	.*?\|Arthropoda\|(.*?\|)?Bellonia\|.*?
Crustacea	.*?\|Arthropoda\|(.*?\|)?Cryptocaris\|.*?
Insecta	.*?\|Arthropoda\|(.*?\|)?Dicliptera\|.*?
Diptera	.*?\|Arthropoda\|(.*?\|)?Diptera\|.*?
Insecta	.*?\|Arthropoda\|(.*?\|)?Eurytaenia\|.*?
Crustacea	.*?\|Arthropoda\|(.*?\|)?Harporhynchus\|.*?
Insecta	.*?\|Arthropoda\|(.*?\|)?Hypermegethes\|.*?
Myriapoda	.*?\|Arthropoda\|(.*?\|)?Hyphanturgus\|.*?
Crustacea	.*?\|Arthropoda\|(.*?\|)?Itea\|.*?
Crustacea	.*?\|Arthropoda\|(.*?\|)?Laurida\|.*?
Crustacea	.*?\|Arthropoda\|(.*?\|)?Nauplius\|.*?
Insecta	.*?\|Arthropoda\|(.*?\|)?Notoptera\|.*?
Crustacea	.*?\|Arthropoda\|(.*?\|)?Orthocarpus\|.*?
Crustacea	.*?\|Arthropoda\|(.*?\|)?Peltarion\|.*?
Insecta	.*?\|Arthropoda\|(.*?\|)?Personidae\|.*?
Insecta	.*?\|Arthropoda\|(.*?\|)?Pterygota\|$
Insecta	.*?\|Arthropoda\|(.*?\|)?Siphonaptera\|.*?
Diptera	.*?\|Arthropoda\|(.*?\|)?Squamata\|.*?
Crustacea	.*?\|Arthropoda\|(.*?\|)?Trochiscia\|.*?
Insecta	.*?\|Arthropoda\|(.*?\|)?Vischeria\|.*?
Arthropoda	.*?\|Arthropoda\|$
Arthropoda	.*?\|Arthropoda\|Arachnomorpha\|.*?
Arthropoda	.*?\|Arthropoda\|Diplura\|.*?
Plants	.*?\|Arthroporella\|.*?
Viruses	.*?\|Articulavirales\|.*?
Tetrapoda	.*?\|Artiodactyla\|.*?
Arthropoda	.*?\|Artiopoda\|$
Plants	.*?\|Arundinarites\|.*?
Plants	.*?\|Arundinites\|.*?
Angiosperms	.*?\|Asarum\|.*?
Protists	.*?\|Ascetospora\|.*?
Plants	.*?\|Aschemonia\|.*?
Tunicata	.*?\|Ascidiacea\|.*?
Angiosperms	.*?\|Asclepiadaceae\|.*?
Angiosperms	.*?\|Asclepias\|.*?
Fungi	.*?\|Ascomycota incertae sedis\|.*?
Fungi	.*?\|Ascomycota\|.*?
Fungi	.*?\|Ascomycota\|(.*?\|)?Acantharia\|.*?
Fungi	.*?\|Ascomycota\|(.*?\|)?Ciliophora\|.*?
Angiosperms	.*?\|Ascyrum\|.*?
Insecta	.*?\|Aseripterella\|.*?
Viruses	.*?\|Asfarviridae\|.*?
Viruses	.*?\|Asfuvirales\|.*?
Diptera	.*?\|Asilidae\|.*?
Insecta	.*?\|Asiuropidae\|.*?
Plants	.*?\|Askisiella\|.*?
Pteridophytes	.*?\|Asolanus\|.*?
Angiosperms	.*?\|Aspalathus\|.*?
Angiosperms	.*?\|Asparagaceae\|.*?
Angiosperms	.*?\|Asparagales\|.*?
Angiosperms	.*?\|Asparagus\|.*?
Angiosperms	.*?\|Asperugo\|.*?
Plants	.*?\|Asphaltina\|.*?
Pteridophytes	.*?\|Aspidostachys\|.*?
Pteridophytes	.*?\|Aspleniaceae\|.*?
Pteridophytes	.*?\|Aspleniphyllum\|.*?
Angiosperms	.*?\|Asteraceae\|.*?
Angiosperms	.*?\|Asterales\|.*?
Pteridophytes	.*?\|Asterocalamites\|.*?
Pteridophytes	.*?\|Asterocalamitopsis\|.*?
Gymnosperms	.*?\|Asterodendron\|.*?
Echinodermata	.*?\|Asteroidea\|.*?
Hemiptera	.*?\|Asterolecanium\|.*?
Plants	.*?\|Asterophragmium\|.*?
Angiosperms	.*?\|Astrantia\|.*?
Angiosperms	.*?\|Astrocaryopsis\|.*?
Plants	.*?\|Astrocupulites\|.*?
Viruses	.*?\|Astroviridae\|.*?
Gymnosperms	.*?\|Atactoxylon\|.*?
Animals	.*?\|Atalotaenia\|.*?
Hemiptera	.*?\|Atelias\|.*?
Tetrapoda	.*?\|Atelidae\|.*?
Crustacea	.*?\|Athalassocarida\|$
Angiosperms	.*?\|Athamanta\|.*?
Actinopterygii	.*?\|Atheriniformes\|.*?
Gymnosperms	.*?\|Athrotaxidium\|.*?
Lepidoptera	.*?\|Athyma\|.*?
Pteridophytes	.*?\|Athyriaceae\|.*?
Fungi	.*?\|Atractiellales\|.*?
Angiosperms	.*?\|Atragene\|.*?
Angiosperms	.*?\|Atraphaxis\|.*?
Angiosperms	.*?\|Atropa\|.*?
Bryophytes	.*?\|Aulacomniaceae\|.*?
Plants	.*?\|Aulacophycus\|.*?
Gymnosperms	.*?\|Aularthrophyton\|.*?
Plants	.*?\|Aulisporites\|.*?
Actinopterygii	.*?\|Aulopiformes\|.*?
Viruses	.*?\|Aumaivirus\|.*?
Plants	.*?\|Aumancisporites\|.*?
Plants	.*?\|Auriculozonospora\|.*?
Animals	.*?\|Ausiidae\|.*?
Plants	.*?\|Australopollis\|.*?
Pteridophytes	.*?\|Autophyllites\|.*?
Plants	.*?\|Avelinesia\|.*?
Angiosperms	.*?\|Averrhoa\|.*?
Tetrapoda	.*?\|Aves\|.*?
Viruses	.*?\|Avsunviroidae\|.*?
Fungi	.*?\|Axisporonites\|.*?
Plants	.*?\|Axothrix\|.*?
Bryophytes	.*?\|Aytoniaceae\|.*?
Angiosperms	.*?\|Azalea\|.*?
