string	value	value uri	predicate	predicate uri
its native stream	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
jungle	forest	http://purl.obolibrary.org/obo/ENVO_01000174	habitat	http://purl.obolibrary.org/obo/RO_0002303
juniper woodland	juniper woodland	http://purl.obolibrary.org/obo/ENVO_01000241	habitat	http://purl.obolibrary.org/obo/RO_0002303
karst cave	karst cave	http://purl.obolibrary.org/obo/ENVO_00012411	habitat	http://purl.obolibrary.org/obo/RO_0002303
karst mountain	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
kelp forest	kelp forest	http://purl.obolibrary.org/obo/ENVO_01000058	habitat	http://purl.obolibrary.org/obo/RO_0002303
kipuka	kipuka	http://purl.obolibrary.org/obo/ENVO_00000410	habitat	http://purl.obolibrary.org/obo/RO_0002303
known from alpine	alpine	http://purl.obolibrary.org/obo/ENVO_01000340	habitat	http://purl.obolibrary.org/obo/RO_0002303
known from clear stream	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
known from montane	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
known from mountain	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
known from stream	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
known from the Carpathian mountain	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
known from the mountain	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
known only from streams	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
known only from the mountain	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
lagoon	lagoon	http://purl.obolibrary.org/obo/ENVO_00000038	habitat	http://purl.obolibrary.org/obo/RO_0002303
lake at a depth	lake	http://purl.obolibrary.org/obo/ENVO_01000252	habitat	http://purl.obolibrary.org/obo/RO_0002303
lake bed	lake bed	http://purl.obolibrary.org/obo/ENVO_00000268	habitat	http://purl.obolibrary.org/obo/RO_0002303
lake bottom	lake bed	http://purl.obolibrary.org/obo/ENVO_00000268	habitat	http://purl.obolibrary.org/obo/RO_0002303
lake bottom mud	lake bottom mud	http://purl.obolibrary.org/obo/ENVO_00005797	habitat	http://purl.obolibrary.org/obo/RO_0002303
lake depth	lake	http://purl.obolibrary.org/obo/ENVO_01000252	habitat	http://purl.obolibrary.org/obo/RO_0002303
lake inlet	lake inlet	http://purl.obolibrary.org/obo/ENVO_00000476	habitat	http://purl.obolibrary.org/obo/RO_0002303
lake sediment	lake sediment	http://purl.obolibrary.org/obo/ENVO_00000546	habitat	http://purl.obolibrary.org/obo/RO_0002303
lake shore	lake shore	http://purl.obolibrary.org/obo/ENVO_00000382	habitat	http://purl.obolibrary.org/obo/RO_0002303
lake surface	lake surface	http://purl.obolibrary.org/obo/ENVO_00000105	habitat	http://purl.obolibrary.org/obo/RO_0002303
lake's bottom	lake bed	http://purl.obolibrary.org/obo/ENVO_00000268	habitat	http://purl.obolibrary.org/obo/RO_0002303
landlocked sea	landlocked sea	http://purl.obolibrary.org/obo/ENVO_00000219	habitat	http://purl.obolibrary.org/obo/RO_0002303
large lake	large lake	http://purl.obolibrary.org/obo/ENVO_00000891	habitat	http://purl.obolibrary.org/obo/RO_0002303
large river	large river	http://purl.obolibrary.org/obo/ENVO_00000887	habitat	http://purl.obolibrary.org/obo/RO_0002303
large river delta	large river delta	http://purl.obolibrary.org/obo/ENVO_00000889	habitat	http://purl.obolibrary.org/obo/RO_0002303
largely montane	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
lateral moraine	lateral moraine	http://purl.obolibrary.org/obo/ENVO_00000249	habitat	http://purl.obolibrary.org/obo/RO_0002303
lava cave	lava cave	http://purl.obolibrary.org/obo/ENVO_00000322	habitat	http://purl.obolibrary.org/obo/RO_0002303
lava field	lava field	http://purl.obolibrary.org/obo/ENVO_00000095	habitat	http://purl.obolibrary.org/obo/RO_0002303
lava tunnel	lava tunnel	http://purl.obolibrary.org/obo/ENVO_00000110	habitat	http://purl.obolibrary.org/obo/RO_0002303
leafy wood soil	leafy wood soil	http://purl.obolibrary.org/obo/ENVO_00005783	habitat	http://purl.obolibrary.org/obo/RO_0002303
lentic	lentic	http://purl.obolibrary.org/obo/ENVO_01000617	habitat	http://purl.obolibrary.org/obo/RO_0002303
leptosol	leptosol	http://purl.obolibrary.org/obo/ENVO_00002241	habitat	http://purl.obolibrary.org/obo/RO_0002303
liman	liman	http://purl.obolibrary.org/obo/ENVO_00000453	habitat	http://purl.obolibrary.org/obo/RO_0002303
limed soil	limed soil	http://purl.obolibrary.org/obo/ENVO_00005766	habitat	http://purl.obolibrary.org/obo/RO_0002303
limestone mountain	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
limited to the mountains of	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
litter layer	litter layer	http://purl.obolibrary.org/obo/ENVO_01000628	habitat	http://purl.obolibrary.org/obo/RO_0002303
littoral	littoral zone	http://eol.org/schema/terms/littoralZone	habitat	http://purl.obolibrary.org/obo/RO_0002303
lives in montane	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
lives in mountain	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
loam	loam	http://purl.obolibrary.org/obo/ENVO_00002258	habitat	http://purl.obolibrary.org/obo/RO_0002303
lost stream	lost stream	http://purl.obolibrary.org/obo/ENVO_00000517	habitat	http://purl.obolibrary.org/obo/RO_0002303
low tide zone	low tide zone	http://purl.obolibrary.org/obo/ENVO_00000319	habitat	http://purl.obolibrary.org/obo/RO_0002303
lower montane	lower montane	http://purl.obolibrary.org/obo/ENVO_01000346	habitat	http://purl.obolibrary.org/obo/RO_0002303
lower mountain zone	lower montane	http://purl.obolibrary.org/obo/ENVO_01000346	habitat	http://purl.obolibrary.org/obo/RO_0002303
lower reaches of freshwater stream	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
lower stream reaches	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
lower-montane	lower montane	http://purl.obolibrary.org/obo/ENVO_01000346	habitat	http://purl.obolibrary.org/obo/RO_0002303
lowland montane	lower montane	http://purl.obolibrary.org/obo/ENVO_01000346	habitat	http://purl.obolibrary.org/obo/RO_0002303
lysocline	lysocline	http://purl.obolibrary.org/obo/ENVO_01000261	habitat	http://purl.obolibrary.org/obo/RO_0002303
m from a stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
machair	machair	http://purl.obolibrary.org/obo/ENVO_00000417	habitat	http://purl.obolibrary.org/obo/RO_0002303
mafic lava	mafic lava	http://purl.obolibrary.org/obo/ENVO_01000234	habitat	http://purl.obolibrary.org/obo/RO_0002303
mainly in mountains	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mallee scrub	shrubland	http://purl.obolibrary.org/obo/ENVO_01000176	habitat	http://purl.obolibrary.org/obo/RO_0002303
mangrove forest	mangrove swamp	http://purl.obolibrary.org/obo/ENVO_01000181	habitat	http://purl.obolibrary.org/obo/RO_0002303
mangrove island	mangrove island	http://purl.obolibrary.org/obo/ENVO_00000103	habitat	http://purl.obolibrary.org/obo/RO_0002303
mangrove swamp	mangrove swamp	http://purl.obolibrary.org/obo/ENVO_01000181	habitat	http://purl.obolibrary.org/obo/RO_0002303
mangrove-forest	mangrove swamp	http://purl.obolibrary.org/obo/ENVO_01000181	habitat	http://purl.obolibrary.org/obo/RO_0002303
margin of a small stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
margin of a stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
margin of medium-sized mountainous stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
margins of a stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
margins of creek	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
margins of lakes and stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
margins of river	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
margins of small stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
margins of stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
margins of the stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
marine benthic	marine benthic	http://purl.obolibrary.org/obo/ENVO_01000024	habitat	http://purl.obolibrary.org/obo/RO_0002303
marine cold-water sphere	marine cold-water sphere	http://purl.obolibrary.org/obo/ENVO_01000108	habitat	http://purl.obolibrary.org/obo/RO_0002303
marine littoral zone	marine littoral zone	http://purl.obolibrary.org/obo/ENVO_01000125	habitat	http://purl.obolibrary.org/obo/RO_0002303
marine mud	marine mud	http://purl.obolibrary.org/obo/ENVO_00005795	habitat	http://purl.obolibrary.org/obo/RO_0002303
marine pelagic	marine pelagic	http://purl.obolibrary.org/obo/ENVO_01000023	habitat	http://purl.obolibrary.org/obo/RO_0002303
marine sludge	marine sludge	http://purl.obolibrary.org/obo/ENVO_00005796	habitat	http://purl.obolibrary.org/obo/RO_0002303
marine sub-littoral zone	marine sub-littoral zone	http://purl.obolibrary.org/obo/ENVO_01000126	habitat	http://purl.obolibrary.org/obo/RO_0002303
marine supra-littoral zone	marine supra-littoral zone	http://purl.obolibrary.org/obo/ENVO_01000124	habitat	http://purl.obolibrary.org/obo/RO_0002303
marine warm-water sphere	marine warm-water sphere	http://purl.obolibrary.org/obo/ENVO_01000109	habitat	http://purl.obolibrary.org/obo/RO_0002303
marine water mass	marine water mass	http://purl.obolibrary.org/obo/ENVO_01000686	habitat	http://purl.obolibrary.org/obo/RO_0002303
marsh	marsh	http://purl.obolibrary.org/obo/ENVO_00000035	habitat	http://purl.obolibrary.org/obo/RO_0002303
meadow	meadow	http://purl.obolibrary.org/obo/ENVO_00000108	habitat	http://purl.obolibrary.org/obo/RO_0002303
meadow soil	meadow soil	http://purl.obolibrary.org/obo/ENVO_00005761	habitat	http://purl.obolibrary.org/obo/RO_0002303
mediterranean forest	mediterranean forest	http://purl.obolibrary.org/obo/ENVO_01000199	habitat	http://purl.obolibrary.org/obo/RO_0002303
mediterranean grassland	mediterranean grassland	http://purl.obolibrary.org/obo/ENVO_01000224	habitat	http://purl.obolibrary.org/obo/RO_0002303
mediterranean shrubland	mediterranean shrubland	http://purl.obolibrary.org/obo/ENVO_01000217	habitat	http://purl.obolibrary.org/obo/RO_0002303
mediterranean woodland	mediterranean woodland	http://purl.obolibrary.org/obo/ENVO_01000208	habitat	http://purl.obolibrary.org/obo/RO_0002303
meromictic lake	meromictic lake	http://purl.obolibrary.org/obo/ENVO_00000199	habitat	http://purl.obolibrary.org/obo/RO_0002303
mesopelagic zone	mesopelagic zone	http://purl.obolibrary.org/obo/ENVO_00000213	habitat	http://purl.obolibrary.org/obo/RO_0002303
mesotrophic water	mesotrophic water	http://purl.obolibrary.org/obo/ENVO_00002225	habitat	http://purl.obolibrary.org/obo/RO_0002303
metalimnion	metalimnion	http://purl.obolibrary.org/obo/ENVO_00002132	habitat	http://purl.obolibrary.org/obo/RO_0002303
mid-montane elevation	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mid-ocean ridge	mid-ocean ridge	http://purl.obolibrary.org/obo/ENVO_00000406	habitat	http://purl.obolibrary.org/obo/RO_0002303
migrate to river	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
migrates to river	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
mineral spring	mineral spring	http://purl.obolibrary.org/obo/ENVO_00000125	habitat	http://purl.obolibrary.org/obo/RO_0002303
mixed forest	mixed forest	http://purl.obolibrary.org/obo/ENVO_01000198	habitat	http://purl.obolibrary.org/obo/RO_0002303
moist montane	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
monadnock	monadnock	http://purl.obolibrary.org/obo/ENVO_00000432	habitat	http://purl.obolibrary.org/obo/RO_0002303
monoecious	monoecious	https://www.wikidata.org/entity/Q66368485	sexual system	http://eol.org/schema/terms/SexualSystem
monoicous	monoicous	https://eol.org/schema/terms/monoicous	sexual system	http://eol.org/schema/terms/SexualSystem
monsoon forest	tropical and subtropical moist broadleaf forest	http://purl.obolibrary.org/obo/ENVO_00000879	habitat	http://purl.obolibrary.org/obo/RO_0002303
monsoon-forest	wet forest	http://eol.org/schema/terms/wet_forest	habitat	http://purl.obolibrary.org/obo/RO_0002303
montane desert	montane desert	http://purl.obolibrary.org/obo/ENVO_01000185	habitat	http://purl.obolibrary.org/obo/RO_0002303
montane forest	montane forest	http://purl.obolibrary.org/obo/ENVO_01000435	habitat	http://purl.obolibrary.org/obo/RO_0002303
montane grassland	montane grassland	http://purl.obolibrary.org/obo/ENVO_01000194	habitat	http://purl.obolibrary.org/obo/RO_0002303
montane savanna	montane savanna	http://purl.obolibrary.org/obo/ENVO_01000223	habitat	http://purl.obolibrary.org/obo/RO_0002303
montane shrubland	montane shrubland	http://purl.obolibrary.org/obo/ENVO_01000216	habitat	http://purl.obolibrary.org/obo/RO_0002303
moraine	moraine	http://purl.obolibrary.org/obo/ENVO_00000177	habitat	http://purl.obolibrary.org/obo/RO_0002303
moss-dominated vegetation	moss-dominated vegetation	http://purl.obolibrary.org/obo/ENVO_01000890	habitat	http://purl.obolibrary.org/obo/RO_0002303
mostly montane	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain area	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain broad-leaved	montane forest	http://purl.obolibrary.org/obo/ENVO_01000435	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain canyon	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain chaparral	mountain shrubland	http://purl.obolibrary.org/obo/ENVO_01000216	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain cliff	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain cloud forest	montane forest	http://purl.obolibrary.org/obo/ENVO_01000435	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain coniferous forest	montane forest	http://purl.obolibrary.org/obo/ENVO_01000435	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain dweller	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain environment	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain evergreen	montane forest	http://purl.obolibrary.org/obo/ENVO_01000435	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain forest	montane forest	http://purl.obolibrary.org/obo/ENVO_01000435	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain forest soil	mountain forest soil	http://purl.obolibrary.org/obo/ENVO_00005769	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain fynbos	mountain shrubland	http://purl.obolibrary.org/obo/ENVO_01000216	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain grassland	montane grassland	http://purl.obolibrary.org/obo/ENVO_01000194	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain habitat	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain mahogany shrub	mountain shrubland	http://purl.obolibrary.org/obo/ENVO_01000216	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain meadow	montane grassland	http://purl.obolibrary.org/obo/ENVO_01000194	habitat	http://purl.obolibrary.org/obo/RO_0002303
