Zenodo_ID	Title | n=397
13319572	Le Duc et al, 2015
13319570	Iwaniuk et al, 2020
13319568	Hunt et al, 2009
13319566	Gamble et al, 2015
13319564	Fabre et al, 2016
13319558	Vidan et al, 2017
13319556	Feldman and Meiri, 2014
13319554	Anderson and Wiens, 2017
13319525	Delwiche and Cooper, 2015
13319523	Rintoul et al, 1999
13319521	Dittami et al, 2017
13319519	Bringloe et al, 2020
13319517	Rogers et al, 1980
13319515	Du et al, 2016
13319511	Christensen et al, 2015
13319505	Dooling et al, 2000
13319501	Hu et al, 2009
13319499	Yager, 1999
13319497	Triblehorn and Yager, 2001
13319491	Budelmann, 1992
13319489	Christensen, Christensen-Dalsgaard and Madsen 2015: Christensen et al, 2015
13319487	Ladich and Popper, 2004
13319485	Wever, 1975
13319483	Womack et al, 2017
13319481	Boistel et al, 2013
13319479	Lindquist et al, 1998
13319477	Hetherington and Lindquist, 1999
13319475	Pereyra et al, 2016
13319473	Vater et al, 2004
13319471	Young, 1997
13319469	Eick et al, 2005
13319467	Price et al, 2005
13319463	Geisler et al, 2014
13319459	Lapshin and Vorontsov, 2009
13319457	Bok et al, 2016
13319453	Ruhberg and Hamera, 2005
13319451	Zieger and Meyer-Rochow, 2008
13319449	Moseley, 1885
13319441	Palmer et al, 2017
13319439	Bitsch, 2005
13319435	Land and Fernald, 1992
13319431	Mackenzie 2003
13319427	Nebelsick 1992
13319423	Bone and James 1993
13319415	Cubo, 2000
13319413	Lamb et al, 1987
13319411	NMNH Primate measurements: NMNH Primate Measurements
13319407	Wilkinson et al, 2003
13319405	Wilkinson et al, 2011
13319401	Nussbaum, 1985
13319399	Moss et al, 2016
13319397	Suschenko and Purschke, 2008
13319395	Hughes, 1970
13319393	Koppetsch et al, 2019
13319389	Picciani et al, 2018
13319387	Syme and Oakley, 2012
13319383	Beckers et al, 2019
13319381	Vodopyanov and Purschke, 2017
13319375	Proudlove, 2020
13319371	Warrant et al, 2003
13319369	Nilsson, 1983
13319367	Land, 1980
13319365	Kazilas et al, 2018
13319362	Roscito and Rodrigues, 2012
13319360	Daniels et al, 2002
13319354	Vidal et al, 2010
13319350	Nev, 1979
13319346	Higgins, 1960
13319344	Mayer, 2006
13319341	Greven, 2007
13319339	Elofsson, 1966
13319337	Burr, 1984
13319335	Morehouse et al, 2017
13319331	Sumner-Rooney et al, 2020
13319329	Ullrich-Lüter et al, 2011
13319325	Garm and Nilsson, 2014
13319321	Morton, 2000
13319315	Nilsson, 2013
13319313	Mejía-Ortíz and Hartnoll, 2006
13319311	McLay, 2007
13319307	Tsurnamal, 2008
13319305	Bruce, 1988
13319303	Tshudy et al, 2009
13319299	Danielopol, 1990
13319283	Kornicker, 1991
13319281	Parker, 1995
13319275	Yager, 1981
13319271	Elofsson and Hessler, 1990
13319269	von Reumont et al, 2014
13319267	Maddison et al, 2019
13319263	Bullock et al, 1983
13319261	Hunt, 2007: Hunt 2007
13319254	Renous et al, 2007
13319250	Moore and Gibson, 1985
13319248	Moore and Gibson, 1981
13319244	Sundberg and Gibson 2007
13319242	Norenburg, 1985
13319240	Coe, 1927
13319231	Hessler, 1981
13319229	Yen, 2012
13319221	Buskey et al, 2012
13319217	Lauga, 2006
13319213	Baumiller and Messing, 2007
13319209	CLARK, 2019
13319207	Jennings et al, 2010
13319203	Grabowsky, 1994
13319197	Miller and Pawson, 1990
13319195	Spain, 2002
13319193	Clark and Hermans, 1976
13319190	Smith, 1937
13319188	Burr and Robinson, 2004
13319186	Kristan, 2019
13319183	Jordan, 1992
13319173	Kolasa and Tyler, 2010
13319170	Strayer et al, 2010
13319166	Poinar, 2010
13319164	Fish, 2000
13319158	Wyneken, 1996
13319156	Gatesy & Middleton, 1997
13319152	HABIB, 2010
13319150	Johnsgard, 1962
13319148	Garland and Losos, 1994
13319146	Shen et al, 2010: Shen, 2010
13319144	Snyder, 1952
13319142	Schaefer and Summers, 2005
13319140	Lindsey, 1978
13319138	Hove et al, 2001
13319136	Webb, 1984
13319132	Lovegrove, 2004
13319130	Hatt, 1932
13319126	Alexander, 2004
13319124	Biewener, 1989
13319122	Lovegrove and Haines, 2004
13319120	Ashley-Ross, 1994
13319114	Travis et al, 2017
13319112	FAO Fishery Statistics
13319108	Park et al, 2017
13319106	Jori et al, 1998
13319102	Martin, 2000
13319100	Hoffman and Wiklund, 2006
13319098	Ojasti, 1996
13319096	Hanotte and Mensah, 2002
13319090	Lambio, 2012
13319086	FAOSTAT
13319084	Jardine et al 2015
13319082	Yoch 2002
13319080	Jonkers et al 1997
13319078	Stensmyr et al 2002
13319076	Kanda and Tsuruta, 1995
13319074	Keller et al, 1989
13319072	Geng and Mu, 2005
13319070	Vettikkat et al, 2020
13319068	Steinke et al, 2018
13319064	Trova et al, 1994
13319060	Baumann et al, 1995
13319056	Okoli et al, 2012
13319054	Bogo and Mantle, 2000
13319052	Negrin et al, 2019
13319050	Kretschmar and Baumann, 1999
13319046	Ashihara et al, 2008
13319042	Sprent, 2008
13319038	Santi et al, 2013
13319036	Bond, 1983
13319032	Stal, 2009
13319028	Stewart, 1970
13319025	Lesser et al, 2004
13319021	Madigan et al, 1984
13319015	Madigan and Jung 2008
13319012	Woodward et al 2016
13319009	Stanier and Cohen-Bazire 1977
13318999	Sabath et al, 2016
13318995	Parasitic Plants Database
13318989	Carnivorous Plants Database
13318213	Hughes, 1987
13318203	Phenoscape Catfish Fin Shapes
13318068	GBIF elevation data
13318064	Metrics: NCBI data coverage
13318062	Metrics: BHL data coverage
13318060	Metrics: GGBN data coverage
13318058	Metrics: BOLDS data coverage
13318052	Metrics: Data Hubs data coverage - genus level
13318042	Metrics: iNaturalist data coverage
13318040	Metrics: Data Hubs data coverage - family level
13316359	McClain Bivalve Sizes
13316357	Macroecological database of mammalian body mass: Smith et al, 2011
13316343	Matishov et al, 2000
13316331	AnAge
13316319	Fairbairn, 2013
13316307	Crustacean body sizes
13316303	Scleractinia lifestyle
13316109	Appeltans et al, 2012: Appeltans et al
13316105	Sal et al, 2013
13315861	Washington Bird Phenology
13315855	Hone et al, 2013
13315853	Hone et al, 2013: Pterosaur Data
13315851	Hone et al, 2013: avian data
13315833	Sibly et al, 2012
13315817	Hershkovitz Y., V. Dahm, A.W. Lorenz and D. Hering (2015)
13315739	Milk Chemical Data: Milk Composition of Non-Dairy Animals
13315733	Tree carbon estimates
13315731	Reid et al, 2012
13315719	Plant forms, habitat and distribution: plant forms, habitat and distribution
13315717	Barton, Finkel et al, 2013
13315705	Copepod sizes
13313953	Edwards et al, 2015: Edwards et al
13313949	Widdicombe et al 2010
13313925	Marshall et al, 2012
13313919	calcification rates: Calcification rates
13313787	Wright et al, 2014
13313776	Lovegrove 2014
13313762	EOL images, flower color study: Flower color study, EOL images
13313756	Leblanc et al, 2012
13313740	PanTHERIA
13313709	OBIS: OBIS environmental data records
13313696	Symonds and Tattersall, 2010
13313676	World Register of Marine Species
13313568	National Wetland Plant List: National Wetland Plant List 2016
13312794	Texas Natural Diversity Database: Listed Species in Texas
13312780	MammalDIET
13312778	Barton, Pershing et al, 2013
13312770	US Fish and Wildlife Service Endangered Species Listings
13312749	Shelled animal body mass
13312747	Bivalve body mass: Body mass bivalves
13312631	CoralReefFish
13312611	Record et al, 2018; copepodid diapause
